sourcePath,sourceType,targetPath,targetType,mappingStrategy,status,testCaseId,notes
pacs00800101.cdtTrfTxInf[].dbtrAgtAcct.tp.cd.ONDP,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.ONDP,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].dbtrAgtAcct.tp.cd.MGLD,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.MGLD,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].dbtrAgtAcct.tp.cd.NREX,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.NREX,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].dbtrAgtAcct.tp.cd.MOMA,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.MOMA,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].dbtrAgtAcct.tp.cd.LOAN,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.LOAN,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].dbtrAgtAcct.tp.cd.SLRY,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.SLRY,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].dbtrAgtAcct.tp.cd.ODFT,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.ODFT,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].dbtrAgtAcct.tp.prtry,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId.prtry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty,PartyIdentification8,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.ctryOfRes,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id,Party2Choice,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId,OrganisationIdentification2,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.BEI,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.BIC,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.BIC,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.bkPtyId,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.DUNS,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.EANGLN,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.IBEI,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.prtryId,GenericIdentification3,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId,GenericIdentification3,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.prtryId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.prtryId.issr,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId.issr,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.taxIdNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.orgId.USCHU,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId,List<PersonIdentification3>,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].alnRegnNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].cstmrNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].drvrsLicNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].dtAndPlcOfBirth,DateAndPlaceOfBirth,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].dtAndPlcOfBirth.birthDt,LocalDate,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].dtAndPlcOfBirth.cityOfBirth,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].dtAndPlcOfBirth.ctryOfBirth,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].dtAndPlcOfBirth.prvcOfBirth,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].idntyCardNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].issr,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId.issr,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].mplyrIdNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].othrId,GenericIdentification4,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].othrId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].othrId.idTp,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].psptNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].sclSctyNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.id.prvtId[].taxIdNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].initgPty.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr,PostalAddress1,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr,PostalAddress1,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrLine,List<String>,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrLine,List<String>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrTp,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrTp.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrTp.ADDR,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrTp.PBOX,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrTp.HOME,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrTp.BIZZ,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrTp.MLTO,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.adrTp.DLVY,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.DLVY,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.bldgNb,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.bldgNb,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.ctry,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.ctrySubDvsn,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctrySubDvsn,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.pstCd,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.pstCd,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.strtNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.strtNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].initgPty.pstlAdr.twnNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.twnNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId,BranchData,pacs00900101.cdtTrfTxInf[].cdtr.brnchId,BranchData,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr,PostalAddress1,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr,PostalAddress1,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrLine,List<String>,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrLine,List<String>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrTp,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrTp.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.adrTp.DLVY,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.DLVY,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.bldgNb,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.bldgNb,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.ctry,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.ctrySubDvsn,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctrySubDvsn,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.pstCd,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.pstCd,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.strtNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.strtNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.brnchId.pstlAdr.twnNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.twnNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId,FinancialInstitutionIdentification5Choice,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId,FinancialInstitutionIdentification5Choice,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.BIC,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.BIC,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.clrSysMmbId,ClearingSystemMemberIdentification3Choice,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId,ClearingSystemMemberIdentification3Choice,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.clrSysMmbId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.clrSysMmbId.prtry,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId.prtry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId,FinancialInstitutionIdentification3,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId,FinancialInstitutionIdentification3,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.BIC,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.BIC,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.clrSysMmbId,ClearingSystemMemberIdentification3Choice,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId,ClearingSystemMemberIdentification3Choice,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.clrSysMmbId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.clrSysMmbId.prtry,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId.prtry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.prtryId,GenericIdentification3,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId,GenericIdentification3,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.prtryId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.prtryId.issr,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId.issr,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr,PostalAddress1,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr,PostalAddress1,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrLine,List<String>,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrLine,List<String>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrTp,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrTp.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrTp.ADDR,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrTp.PBOX,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrTp.HOME,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrTp.BIZZ,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrTp.MLTO,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.adrTp.DLVY,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.DLVY,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.bldgNb,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.bldgNb,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.ctry,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.ctrySubDvsn,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctrySubDvsn,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.pstCd,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.pstCd,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.strtNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.strtNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.cmbndId.pstlAdr.twnNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.twnNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr,NameAndAddress7,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.nmAndAdr,NameAndAddress7,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr,PostalAddress1,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr,PostalAddress1,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrLine,List<String>,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrLine,List<String>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrTp,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrTp.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrTp.ADDR,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrTp.PBOX,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrTp.HOME,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrTp.BIZZ,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrTp.MLTO,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.adrTp.DLVY,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.DLVY,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.bldgNb,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.bldgNb,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.ctry,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.ctrySubDvsn,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctrySubDvsn,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.pstCd,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.pstCd,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.strtNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.strtNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.nmAndAdr.pstlAdr.twnNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.twnNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.prtryId,GenericIdentification3,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId,GenericIdentification3,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.prtryId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAgt.finInstnId.prtryId.issr,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId.issr,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAmt,CurrencyAndAmount,,,,not-started,,
pacs00800101.cdtTrfTxInf[].instdAmt.ccy,String,pacs00900101.cdtTrfTxInf[].cdtrAcct.ccy,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instdAmt.value,BigDecimal,pacs00900101.cdtTrfTxInf[].intrBkSttlmAmt.value,BigDecimal,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instgAgt.brnchId,BranchData,pacs00900101.cdtTrfTxInf[].cdtr.brnchId,BranchData,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instgAgt.brnchId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instgAgt.brnchId.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instgAgt.brnchId.pstlAdr,PostalAddress1,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr,PostalAddress1,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instgAgt.brnchId.pstlAdr.adrLine,List<String>,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrLine,List<String>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instgAgt.brnchId.pstlAdr.adrTp,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].instgAgt.brnchId.pstlAdr.adrTp.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
